"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Harrison Ingram","UNC",2024,48,4433618,"UNC",3,8.193,9.65,11.093,NA,-1.82,-1.41,NA,NA,NA
"Hasheem Thabeet","UConn",2009,2,31559,"UConn",3,6.461,9.092,11.093,NA,-0.94,-2.23,-2.24,-0.48,-1.93
"Hassan Whiteside","Marshall",2010,33,46133,"Marshall",1,6.179,NA,NA,NA,-1.67,-1.11,1.25,1.45,1.17
"Henry Ellenson","Marquette",2016,18,3906522,"Marquette",1,8.639,NA,NA,NA,-3.32,-2.8,-2.55,-2.76,-1.82
"Henry Walker","Kansas State",2008,47,34658,"Kansas State",2,10.61,9.65,NA,NA,-2.15,-0.2,-0.29,-0.76,-0.48
"Herbert Jones","Alabama",2021,35,4277813,"Alabama",4,2.113,3.493,3.947,8.784,0.93,1.05,2.08,1.49,0.77
"Hunter Tyson","Clemson",2023,37,4395620,"Clemson",4,5.196,5.872,10.797,13.329,-2.12,-2.05,-3.23,NA,NA
"Ignas Brazdeikis","Michigan",2019,47,4397205,"Michigan",1,10.743,NA,NA,NA,-1.36,-3.13,-2.56,NA,NA
"Iman Shumpert","Georgia Tech",2011,17,40975,"Georgia Tech",3,2.736,4.092,10.843,NA,-0.08,0.68,1.02,1.01,0.55
"Immanuel Quickley","Kentucky",2020,25,4395724,"Kentucky",2,3.168,11.962,NA,NA,0.33,1.23,1.76,0.64,0.69
"Isaac Okoro","Auburn",2020,5,4432822,"Auburn",1,7.59,NA,NA,NA,-2.18,-0.2,0.38,0.52,0.79
"Isaiah Canaan","Murray State",2013,34,45836,"Murray State",4,4.943,4.323,18.267,15.852,-2.09,-1.41,-1.97,-2.41,-1.17
"Isaiah Collier","USC",2024,29,4683766,"USC",1,9.729,NA,NA,NA,-2.43,-1.88,NA,NA,NA
"Isaiah Cousins","Oklahoma",2016,59,61662,"Oklahoma",4,0.842,6.117,6.73,7.077,-10,NA,NA,NA,NA
"Isaiah Jackson","Kentucky",2021,22,4432170,"Kentucky",1,6.099,NA,NA,NA,-0.51,-1.04,0.5,0.73,-0.29
"Isaiah Joe","Arkansas",2020,49,4395702,"Arkansas",2,7.31,8.895,NA,NA,-1.34,-1.6,0.28,1.29,1.12
"Isaiah Livers","Michigan",2021,42,4277957,"Michigan",4,2.673,5.382,7.619,11.945,-1.35,-1.3,-1.7,-1.63,NA
"Isaiah Mobley","USC",2022,49,4432815,"USC",3,2.938,7.782,11.378,NA,-1.89,-1.73,-2.29,-1.68,NA
"Isaiah Roby","Nebraska",2019,45,4066392,"Nebraska",3,3.593,6.69,7.346,NA,-2.67,-2.5,-1.15,-1.47,NA
"Isaiah Stewart","Washington",2020,16,4432810,"Washington",1,13.733,NA,NA,NA,-0.49,-2.24,-1.06,-0.84,-0.9
"Isaiah Thomas","Washington",2011,60,41021,"Washington",3,6.086,9.669,11.461,NA,0.36,0.19,1.15,1.5,0.8
"Isaiah Whitehead","Seton Hall",2016,42,3136477,"Seton Hall",2,6.208,11.391,NA,NA,-1.02,-2.07,-2.08,NA,NA
"Isaiah Wong","Miami (FL)",2023,55,4431727,"Miami (FL)",4,3.624,11.592,8.268,10.311,-1.94,-2.07,-2.64,NA,NA
"Ivan Rabb","California",2017,35,3917378,"California",2,9.082,13.497,NA,NA,-2.18,-0.47,-0.53,NA,NA
"J.P. Tokoto","UNC",2015,58,61654,"UNC",3,5.27,5.448,11.093,NA,-10,NA,NA,NA,NA
"J.R. Giddens","New Mexico",2008,30,15187,"New Mexico",4,13.168,9.65,11.093,13.329,-1.61,-1.8,NA,NA,NA
"JD Davison","Alabama",2022,53,4576085,"Alabama",1,4.578,NA,NA,NA,-1.93,0.24,-1.68,-0.42,NA
"JJ Hickson","NC State",2008,19,36375,"NC State",1,10.221,NA,NA,NA,-3.34,-3.1,-4.05,-2.83,-2.29
"JT Thor","Auburn",2021,37,4702233,"Auburn",1,5.085,NA,NA,NA,-1.71,-2.78,-1.76,-3.21,-2.98
"Ja Morant","Murray State",2019,2,4279888,"Murray State",2,25,9.65,NA,NA,-0.96,-0.38,2.46,2.18,1.99
